Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2004-11-10,13.3056,14.1082,13.3056,14.0519,101976793.26654
2004-11-12,14.0519,14.7975,14.0519,14.1662,36434090.97811
2004-11-15,14.0519,14.1662,13.8252,14.1082,15156000.120921
2004-11-16,14.0519,14.1082,13.9948,14.0519,6878591.1914719
2004-11-17,14.0519,14.1082,13.9376,14.0519,5678156.1855479
2004-11-18,14.0519,14.1082,13.9948,14.0519,3158198.5365262
2004-11-19,14.1082,14.1082,13.9376,13.9376,5269801.0566669
2004-11-22,13.8814,13.9376,13.6474,13.8252,6458059.8026625
2004-11-23,13.7681,13.8252,13.6474,13.7681,6238744.8856522
2004-11-24,13.7681,13.7681,13.6474,13.7681,5580288.5177957
2004-11-25,13.7681,14.1662,13.7681,14.1662,4935764.8874613
2004-11-26,14.1082,14.1662,13.9948,14.1662,1873780.0849834
2004-11-29,14.1082,14.2234,14.0519,14.2234,3996256.6679163
2004-11-30,14.2234,14.393,14.1662,14.3368,8763455.9401391
2004-12-01,14.1662,14.4564,14.1082,14.4564,4332982.1333245
2004-12-02,14.393,14.6841,14.393,14.627,4713792.6503001
2004-12-03,14.627,14.6841,14.5117,14.6841,4740321.7469113
2004-12-06,14.5689,14.627,14.393,14.5689,2009789.6691934
2004-12-07,14.5117,14.8537,14.5117,14.8537,4847399.6201495
2004-12-08,14.6841,14.7975,14.627,14.7403,2190030.9537592
2004-12-09,14.627,14.6841,14.5117,14.5689,1475991.3872256
2004-12-10,14.5117,14.7403,14.5117,14.627,4155311.0617346
2004-12-13,14.5689,14.627,14.3368,14.4564,1715916.5234319
2004-12-14,14.393,14.5689,14.3368,14.4564,2669260.4497216
2004-12-15,14.393,14.5117,14.3368,14.393,1505099.5177925
2004-12-16,14.393,14.627,14.3368,14.5689,2324998.5597358
2004-12-17,14.5117,14.9108,14.4564,14.9108,4347535.6472967
2004-12-20,14.9108,15.4858,14.9108,15.4287,5307282.5022656
2004-12-21,15.3153,15.8268,15.201,15.7134,3986707.9573322
